"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","BON SECOURS OF MARYLAND FOUNDATION, INC.","21230","2022","80,740","OUR RETURNING CITIZENS PROGRAM WOULD PROVIDE 50 PARTICIPANTS (80% MALE, 20% FEMALE) INCARCERATED IN A STATE OR LOCAL CORRECTIONAL FACILITY AT PROGRAM ENROLLMENT TIME WITH SERVICES THAT ADDRESS THEIR BARRIERS TO SUCCESSFUL RE-INTEGRATION INTO THE BALTIMORE CITY COMMUNITY AND REDUCE THEIR RECIDIVISM. SERVICES “BEHIND THE WALLS” WILL BE BASED ON THE FACILITIES’ COVID-19 POLICY. FUNDING WILL PROVIDE PERSONNEL, EQUIPMENT AND TRAINING EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","MY COVENANT PLACE","20774","2022","67,366","MY COVENANT PLACE’S (MCP) “ALPHA PROJECT” IS A COURT APPROVED AND STATE CERTIFIED VIOLENCE/ABUSER INTERVENTION PROGRAM FOR DOMESTIC/INTIMATE PARTNER/FAMILY VIOLENCE AND WILL FOCUS ON EFFORTS IN PRINCE GEORGE'S COUNTY. OUR VIOLENCE INTERVENTION PROGRAMMING IS A THREE-PRONGED APPROACH TO COMBAT INTIMIDATE PARTNER, FAMILY, AND INTERPERSONAL/COMMUNITY VIOLENCE. 
MY COVENANT PLACE'S ALPHA PROJECT WILL PROVIDE SPECIALTY COURTS ""EXPANDING A CERTIFIED AIP"" AND ALTERNATIVES TO INCARNATION "" OTHER INTERVENTIONS THAT AIM TO PROVIDE RECIDIVISM REDUCTION PROGRAMMING IN THE COMMUNITY WHILE ENSURING PUBLIC SAFETY"". GRANT FUNDS PROVIDE EQUIPMENT, TRAINING AND PERSONNEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","ANNE ARUNDEL COUNTY COMMUNITY ACTION AGENCY, INC.","21401","2022","214,500","THE ANNE ARUNDEL COUNTY COMMUNITY ACTION AGENCY (AACCAA) IS IMPLEMENTING HOUSING COORDINATOR FOR RETURNING CITIZENS -COMMUNITY REENTRY TO PROVIDE QUALITY HOUSING SUPPORT SERVICES IN ANNE ARUNDEL COUNTY FOR BOOSTING SUCCESSFUL COMMUNITY-BASED RE-ENTRY AND REDUCING THE RATES AT WHICH OFFENDERS RETURN TO CRIME. THE PROPOSED PROGRAM ALIGNS WITH JRCC RECOMMENDATIONS TO (1) “EXPAND PROGRAMMING OPTIONS FOR INDIVIDUALS LEAVING PRISON AND RE-ENTERING THE COMMUNITY, SPECIFICALLY COMMUNITY-BASED HOUSING SERVICES, AND (2) CREATE TRANSITION COORDINATION TO PROVIDE QUALITY TRANSITION PLANNING AND HOUSING SUPPORTS FOR OFFENDERS UPON THEIR RELEASE FROM PRISON. PROGRAM FUNDS PROVIDE TRAINING, CONTRACTUAL SERVICES, EQUIPMENT AND, OPERATING COSTS.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","GATEKEEPERS CORPORATION","21740","2022","110,554","GATEKEEPERS’ MISSION IS TO MOTIVATE, EMPOWER, AND ENCOURAGE EX-OFFENDERS THROUGH COACHING: CHALLENGING INDIVIDUALS TO MAKE POSITIVE CHOICES THAT WILL FACILITATE A SUCCESSFUL TRANSITION BACK TO THE COMMUNITY. GATEKEEPERS APPROACHES RE-ENTRY FROM A COMPASSIONATE PERSPECTIVE CALLED THE BUSINESS OF LIVING. CENTRAL TO THE BUSINESS OF LIVING PROCESS IS DEVELOPMENT OF A PERSONALIZED RE-ENTRY PLAN FOCUSING ON FOUR ASPECTS OF HUMAN DEVELOPMENT: EDUCATIONAL, OCCUPATIONAL, PERSONAL AND SPIRITUAL. THIS PROGRAM (SIXTY DAY CLIENT STABILIZATION SUPPORT) BUILDS ON GATEKEEPERS' WORK IS RESPONSIVE TO CLIENT BASIC NEEDS AT THE START OF THE COMMUNITY RE-ENTRY PROCESS. PROGRAM FUNDS WILL PROVIDE TRAINING, EQUIPMENT AND PERSONNEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","EASTER SEALS SERVING DC-MD-VA INC.","20910","2022","220,000","EASTERSEALS DC MD VA (THE LEAD IMPLEMENTING ORGANIZATION), THE ANNE ARUNDEL COUNTY POLICE DEPARTMENT, AND THE PASCAL CRISIS STABILIZATION CENTER HAVE FORMED A PARTNERSHIP TO CARRY OUT THIS PROJECT, TITLED “A COMPREHENSIVE STRATEGY FOR RE-ENTERING CITIZENS IN ANNE ARUNDEL COUNTY.” THE PROPOSED PROJECT WILL PROVIDE 75 RE-ENTERING CITIZENS OF ANNE ARUNDEL COUNTY WITH BEHAVIORAL HEALTHCARE SERVICES AND SUBSTANCE USE TREATMENT, ONGOING CASE MANAGEMENT AND ACCESS TO EMERGENCY HOUSING, AND EMPLOYMENT COUNSELING AND JOB PLACEMENT. PROGRAM FUNDS PROVIDE EQUIPMENT, PERSONNEL AND TRAINING.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","FUSION PARTNERSHIPS, INC.","21202","2022","146,850","PREPARE’S PAROLE HEARING AND REENTRY SUPPORT PROGRAM PROVIDES INFORMATION ABOUT, MATERIALS FOR, AND SUPPORT WITH PAROLE HEARING PREPARATION IN MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN (MCIW). THE PROGRAM’S GOAL IS TO SUPPORT INCARCERATED WOMEN IN PRESENTING THEIR BEST CASE FOR PAROLE BEFORE THE PAROLE COMMISSION. THIS NECESSARILY INCLUDES CONSTRUCTING A WELL-THOUGHT OUT PLAN FOR REENTRY. PROGRAM FUNDS PROVIDE VOLUNTEER TRAINING, CONTRACTUAL SERVICES, AND PROGRAM MATERIALS.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","HAGERSTOWN GOODWILL INDUSTRIES, INC. DBA HORIZON GOODWILL INDUSTRIES","21742","2022","164,165","HORIZON GOODWILL INDUSTRIES WASHINGTON COUNTY REENTRY SERVICES PROGRAM HELPS TO REMOVE BARRIERS AND CREATE OPPORTUNITIES IN WASHINGTON COUNTY. THE PROGRAM WILL USE WORKFORCE DEVELOPMENT AS A REENTRY POINT FOR PARTICIPANTS EXITING INCARCERATION AND GETTING BACK INTO SOCIETY. THE PURPOSE IS TO OFFER PAID WORK TRAINING AS WELL AS SECTOR CERTIFICATIONS TO ADVISE ONES KNOWLEDGE AND LIVELIHOOD POST INCARCERATION. THE TARGETED INDIVIDUALS FOR PARTICIPATION IS 5 WOMEN AND 10 MEN EXITING INCARCERATION AND ENTERING INTO REENTRY. PROGRAM FUNDS WILL PROVIDE TRAINING, PERSONNEL AND EQUIPMENT.","Grant","1","2022 Jun 30 12:00:00 AM"
"JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE (MACRO)","CONFLICT RESOLUTION CTR OF MONTGOMERY CO","20814","2024","143,000","PROVIDE COMMUNITY MEDIATION AND CONFLICT RESOLUTION SERVICES IN MONTGOMERY COUNTY.","Grant","1","2024 Jun 30 12:00:00 AM"
"JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE (MACRO)","MID SHORE COMMUNITY MEDIATION CENTER","21601","2024","157,000","PROVIDE COMMUNITY MEDIATION AND CONFLICT RESOLUTION SERVICES IN CAROLINE, DORCHESTER AND TALBOT COUNTIES.","Grant","1","2024 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","VEHICLES FOR CHANGE, INC.","21227","2022","173,022","VEHICLES FOR CHANGE (VFC) IS REQUESTING $230,000 TO SUPPORT THE NEWLY OPENED WORKFORCE DEVELOPMENT AND PLACEMENT FACILITY IN PRINCE GEORGE'S COUNTY FOR THE REENTRY POPULATIONS. ""RETURNING CITIZENS"" WILL ATTEND A FOUR MONTH ASE MECHANICS CERTIFICATION COURSE AND WILL THEN BE PLACED IN GOOD PAYING FULL-TIME JOBS WITH BENEFITS AND A CLEARLY IDENTIFIED PATH TO PROMOTIONAL OPPORTUNITIES AND A LONG-TERM SUSTAINABLE CAREER PATH. VFC HAS A DEMONSTRATED 98% TRAINING COMPLETION RATE, A 100% JOB PLACEMENT RATE AND LESS THAN A 1% RECIDIVISM RATE AMONG GRADUATES OF THE PROGRAM. FUNDS WILL BE USED FOR EQUIPMENT, TRAINING AND PERSONNEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","SEXUAL ASSAULT/SPOUSE ABUSE RESOURCE CENTER, INC. (SARC)","21014","2022","102,213","THE SEXUAL ASSAULT/SPOUSE ABUSE RESOURCE CENTER'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL VIOLENCE VICTIMS IN HARFORD COUNTY, MARYLAND. SERVICES INCLUDE A 24-HOUR HELPLINE, CRISIS INTERVENTION, INDIVIDUAL COUNSELING, INFORMATION AND REFERRALS, COMMUNITY OUTREACH, AND CASE MANAGEMENT. PROGRAM FUNDS PROVIDE PERSONNEL, OPERATING EXPENSES, CONTRACTUAL SERVICES, TRAVEL AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","CENTER FOR ABUSED PERSONS","20601","2022","101,325","THE CENTER FOR ABUSED PERSONS' SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS IN CHARLES COUNTY, MARYLAND. THE PROGRAM PROVIDES CRISIS INTERVENTION, INDIVIDUAL, FAMILY AND GROUP COUNSELING AS WELL AS 24 HOUR OUTREACH AND ACCOMPANIMENT FOR VICTIMS OF SEXUAL ASSAULT AND ADULTS MOLESTED AS CHILDREN. PROGRAM FUNDS PROVIDE PERSONNEL EXPENSES, CONTRACTUAL SERVICES AND OPERATING EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","CASA CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC.","21740","2022","101,332","CASA CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC.'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS. WASHINGTON COUNTY, MARYLAND. SERVICES INCLUDE CRISIS INTERVENTION SERVICES, ON-GOING COUNSELING, LEGAL SERVICES, ADVOCACY AND ACCOMPANIMENT, INFORMATION AND REFERRAL, AND WHEN APPROPRIATE, EMERGENCY SHELTER SERVICES. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER)","21550","2022","100,273","THE DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER)'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL VIOLENCE VICTIMS IN GARRETT COUNTY. THE PROGRAM OFFERS COUNSELING, EDUCATION, CRISIS INTERVENTION, ADVOCACY, SHELTER, HOTLINE, ACCOMPANIMENT, INFORMATION AND REFERRAL, OUTREACH SERVICES, SCHOOL BASED SERVICES, COMMUNITY EDUCATION AND NETWORKING. PROGRAM FUNDS PROVIDE PERSONNEL AND OPERATING EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","FAMILY CRISIS RESOURCE CENTER, INC.","21502","2022","100,679","THE FAMILY CRISIS RESOURCE CENTER, INC.’S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS IN ALLEGANY COUNTY, MARYLAND. THE PROGRAM PROVIDES A 24 HOUR HOTLINE, CRISIS INTERVENTION AND SUPPORTIVE SERVICES, INFORMATION AND REFERRALS TO OTHER COMMUNITY RESOURCES, INDIVIDUAL AND GROUP COUNSELING, LEGAL AND MEDICAL ADVOCACY AND ACCOMPANIMENT, ADVOCACY WITH OTHER SYSTEMS, OUTREACH, AND COMMUNITY EDUCATION. PROGRAM FUNDS PROVIDE PERSONNEL, OPERATING EXPENSES AND TRAVEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","FOR ALL SEASONS, INC.","21601","2022","101,550","FOR ALL SEASONS, INC.'S SEXUAL ASSAULT RAPE CRISIS INTERVENTION PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS. THE PROGRAM PROVIDES A FULL SERVICE RAPE CRISIS CENTER WITH TRAUMA-CERTIFIED PSYCHIATRIC AND MENTAL HEALTH SERVICES. PROGRAM FUNDS PROVIDE PERSONNEL, TRAVEL AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","LIFE CRISIS CENTER, INC.","21803","2022","101,597","THE LIFE CRISIS CENTER, INC.’S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS. SERVICES INCLUDE A 24-HOUR HOTLINE; INFORMATION AND REFERRALS; CRISIS COUNSELING; ONGOING COUNSELING; ADVOCACY AND ACCOMPANIMENT; INFORMATION TO VICTIMS REGARDING CRIMINAL PROSECUTION, CIVIL REMEDIES, EVIDENCE COLLECTION AND VICTIM’S RIGHTS; INFORMATION AND EDUCATION TOR THE GENERAL PUBLIC AND LOCAL COLLEGES; SPECIALIZED SERVICES FOR CHILDREN; SERVICES TO ADULTS MOLESTED AS CHILDREN ; AND OTHER SPECIALIZED SERVICES DESIGNED TO HELP VICTIMS AND THEIR FAMILIES. PROGRAM FUNDS PROVIDE PERSONNEL EXPENSES, TRAVEL AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","HEARTLY HOUSE, INC.","21705","2022","102,110","HEARTLY HOUSE INC.'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS AND THEIR FAMILIES IN FREDERICK COUNTY, MARYLAND. SERVICES INCLUDE SUPPORT THROUGH A 24-HOUR HOTLINE, IN-PERSON CRISIS INTERVENTIONS, INDIVIDUAL/GROUP COUNSELING, AND PREVENTION EDUCATION TARGETING YOUTH. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT, CONTRACTUAL SERVICES AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","RAPE CRISIS INTERVENTION SERVICE OF CARROLL COUNTY","21157","2022","101,511","THE RAPE CRISIS INTERVENTION SERVICE OF CARROLL COUNTY'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS IN CARROLL COUNTY, MARYLAND. THE PROGRAM'S MAIN FUNCTION IS TO PROVIDE INTERVENTION AND TREATMENT SERVICES TO VICTIMS AGED 12 AND OLDER (AND THEIR FAMILY MEMBERS/SIGNIFICANT OTHERS/CAREGIVERS, ETC.) WITH SPECIALIZED VICTIM-CENTERED SERVICES. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT.","Grant","1","2022 Jun 30 12:00:00 AM"
"MARYLAND ENERGY ADMINISTRATION/LMI COMMUNITY GRANTS/ENERGY EFFICIENCY EQUITY","DIVERSIFIED HOUSING DEVELOPMENT, INC. - CENTRAL FY24","21244","2024","1,034,151","FY24 LMI COMMUNITY GRANT TO COMPLETE AT LEAST 207 WHOLE HOME RETROFITS. WHOLE HOME RETROFITS CONSIST OF A BPI CERTIFIED PERSON PERFORMING AN ENERGY AUDIT ON THE HOME THEN PRODUCING A WORK ORDER FOR WEATHERIZATION.","Grant","1","2024 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","SOUTHERN MARYLAND CENTER FOR FAMILY ADVOCACY","20636","2022","100,950","THE SOUTHERN MARYLAND CENTER FOR FAMILY ADVOCACY PROVIDES SERVICES TO VICTIMS OF SEXUAL VIOLENCE IN ST. MARY'S COUNTY, MARYLAND. THE SERVICES MAKE UP A COMPREHENSIVE PROGRAM INCLUDING 24/7 HOTLINE ACCESS, MEDICAL ACCOMPANIMENT DURING SEXUAL ASSAULT EXAMS, SHORT-TERM CRISIS COUNSELING/MANAGEMENT SERVICES, LONGER-TERM COUNSELING RELATED TO SEXUAL ASSAULT, LIAISON WITH OTHER PROVIDERS, INCLUDING THE LOCAL HOSPITAL, LAW ENFORCEMENT AND OTHER AGENCIES WHICH RESPOND TO SEXUAL VICTIMIZATION IN THE COUNTY, AND EDUCATION AND INTERVENTION PROTOCOLS WITH THE LOCAL COLLEGES AND SECONDARY SCHOOL SYSTEM. THE CENTER WILL ALSO SERVE ON AND PROVIDE LEADERSHIP TO THE ST. MARY’S COUNTY SART. PROGRAM FUNDS PROVIDE SALARIES, CONTRACTUAL SERVICES, EDUCATIONAL MATERIALS, AND EMERGENCY SHORT-TERM SHELTER.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","TURNAROUND, INC. (BALTIMORE COUNTY)","21286","2022","112,893","TURNAROUND, INC. (BALTIMORE COUNTY)'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS. THE PROGRAM PROVIDES IMMEDIATE AND ONGOING SUPPORT TO VICTIMS OF SEXUAL ASSAULT/ABUSE AND THEIR FAMILIES INCLUDING ADVOCACY, CASE MANAGEMENT, EMERGENCY SHELTER, AND TRAUMA THERAPY. PROGRAM FUNDS PROVIDE PERSONNEL AND OPERATING EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF THE UNITED STATES OF AMERICA (YWCA) OF ANNAPOLIS AND ANNE ARUNDEL COUNTY","21012","2022","104,861","THE YWCA OF ANNAPOLIS AND ANNE ARUNDEL COUNTY'S SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO THOSE AFFECTED BY SEXUAL ASSAULT. THE PROGRAM PROVIDES FOR EMERGENCY SHELTER, CASE MANAGEMENT, LEGAL ADVOCACY, CONNECTION TO COUNSELING AND HOSPITAL ACCOMPANIMENT SERVICES, 24-HOUR HOTLINE SUPPORT FOR VICTIMS OF SEXUAL ASSAULT, AND INFORMATION SURROUNDING AVAILABLE RESOURCES FOR VICTIMS. PROGRAM FUNDS PROVIDE PERSONNEL AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","MARYLAND COALITION AGAINST SEXUAL ASSAULT, INC. (MCASA)","20907","2022","100,000","THE MARYLAND COALITION AGAINST SEXUAL ASSAULT’S (MCASA) SEXUAL ASSAULT RAPE CRISIS PROGRAM PROVIDES TECHNICAL ASSISTANCE AND SUPPORT THE COMPREHENSIVE SEXUAL ASSAULT/RAPE CRISIS CENTERS THROUGHOUT THE STATE OF MARYLAND. SUPPORT AND TECHNICAL ASSISTANCE INCLUDES UPDATING AND MAINTAINING PERFORMANCE STANDARDS, UPDATING AND DISTRIBUTING MATERIALS FOR USE BY RAPE CRISIS CENTERS OR OTHERS WORKING WITH VICTIMS OF SEX CRIMES, PROVIDING INFORMATION AND EDUCATION FOR THE GENERAL PUBLIC REGARDING THE PREVENTION AND TREATMENT OF RAPE AND SEXUAL OFFENSES, AND UPDATING TRAINING TO HELP RAPE CRISIS CENTERS AND THE SEXUAL ASSAULT LEGAL INSTITUTE PROVIDE SERVICES TO VICTIMS. PROGRAM FUNDS PROVIDE PERSONNEL EXPENSES, TRAVEL, OPERATING EXPENSES, CONTRACTUAL SERVICES AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","UNIVERSITY OF MARYLAND PRINCE GEORGE'S HOSPITAL CENTER (DIMENSIONS HEALTH CORPORATION)","20774","2022","107,806","THE UNIVERSITY OF MARYLAND PRINCE GEORGE'S HOSPITAL CENTER'S (DIMENSIONS HEALTH CORPORATION) SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS IN PRINCE GEORGE'S COUNTY, MARYLAND. SERVICES INCLUDE A 24- HOUR HOTLINE WHICH INCLUDES CRISIS INTERVENTION, ACCOMPANIMENT FOR MEDICAL AND FORENSIC EXAMS, ADVOCACY SUPPORT, AND INFORMATION AND REFERRALS DESIGNED SPECIFICALLY TO RESPOND TO VICTIMS OF SEXUAL ASSAULT, SEXUAL ABUSE, AND HUMAN SEX TRAFFICKING. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT, TRAVEL AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","HOPEWORKS OF HOWARD COUNTY, INC.","21046","2022","102,596","HOPEWORKS OF HOWARD COUNTY’S THERAPEUTIC COUNSELING SERVICES FOR VICTIMS OF SEXUAL ASSAULT PROJECT PROVIDES ASSISTANCE TO VICTIMS OF RAPE AND OTHER SEXUAL OFFENSES IN HOWARD COUNTY, MARYLAND. THE PROGRAM PROVIDES A WIDE RANGE OF THERAPEUTIC COUNSELING SERVICES THAT REFLECT THE INDIVIDUAL RECOVERY NEEDS OF SEXUAL ASSAULT VICTIMS AND WHICH ALLOW THOSE VICTIMS TO RETURN TO HEALTHIER LEVELS OF FUNCTIONING. PROGRAM FUNDS SUPPORT PERSONNEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","THE BALTIMORE CHILD ABUSE CENTER, INC.","21218","2022","55,294","THE BALTIMORE CHILD ABUSE CENTER, INC.’S BALTIMORE LINKS ASSISTS IN DEVELOPING AND IMPLEMENTING TRAUMA-INFORMED STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SURVIVORS OF HOMICIDE VICTIMS IN THE STATE OF MARYLAND. THE PROGRAM PROVIDES CHILD SURVIVORS OF HOMICIDE WITH IMMEDIATE RESOURCES TO PROMOTE FAMILY STABILIZATION AND CASE MANAGEMENT SERVICES TO SUPPORT THEM IN OBTAINING JUSTICE AND HEALING, AND PROVIDES OUTREACH TO VICTIMS, VICTIM SERVICE PROVIDERS AND THE COMMUNITY THROUGH AWARENESS AND TRAINING. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT AND CLIENT FINANCIAL ASSISTANCE.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","PRO BONO COUNSELING PROJECT, INC.","21215","2022","73,852","PRO BONO COUNSELING PROJECT, INC.’S EXPANDING ACCESS TO COUNSELING FOR SURVIVORS OF HOMICIDE PROGRAM ASSISTS IN REDUCING EXISTING GAPS IN SERVICES AND FOSTERS COLLABORATION AND COOPERATION AMONG PARTNER AGENCIES AND STAKEHOLDERS. THE PROGRAM MATCHES SURVIVORS OF HOMICIDE TO LICENSED MENTAL HEALTH PROVIDERS WHO VOLUNTEER THEIR TIME. IN ADDITION TO COUNSELING SERVICES, CLIENTS ARE LINKED TO APPROPRIATE REFERRALS AND OTHER RESOURCES. PROGRAM FUNDS SUPPORT PERSONNEL, OPERATING EXPENSES, TRAVEL, CONTRACTUAL SERVICES AND OTHER EXPENSES.","Grant","1","2022 Jun 30 12:00:00 AM"
